,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
9029,TUR35598,TUR,35598,ADIYAMAN,178500.0,158.83,51.06699999999999,51.06699999999999,1.69,21.98,20.9,1.0800000000000018,37.76514303,38.27527578,1123.8431026884089
9031,CHN35601,CHN,35601,QINGYUN,105408.0,65.83,40.32,40.32,-0.62,21.44,21.23,0.21000000000000085,37.77846458,117.3877466,1601.2152514051345
9033,IRN35608,IRN,35608,ORUMIYEH,509468.0,803.43,42.47,42.47,-1.57,16.5,17.78,-0.7299999999999969,37.59222936,45.1039267,634.1162266781176
9039,TUR35623,TUR,35623,SIVEREK,126800.0,94.36,51.06699999999999,51.06699999999999,1.08,20.73,19.54,1.1900000000000013,37.75347538,39.32927743,1343.7897414158542
9046,CHN35637,CHN,35637,HENGSHUI,248471.0,186.04,41.44,41.44,1.55,19.86,18.68,1.1799999999999997,37.74193434,115.6636439,1335.5783702429585
9052,CHN35650,CHN,35650,ZHAOZHOU,188407.0,48.2,42.11,42.11,0.25,19.77,19.84,-0.07000000000000028,37.7534382,114.773522,3908.8589211618255
9054,JPN35652,JPN,35652,AIZUWAKAMATSU,175039.0,763.85,30.6,30.6,3.49,14.45,14.16,0.28999999999999915,37.57294648,139.9412689,229.15362963932708
9055,CHN35660,CHN,35660,LELING,233927.0,85.57,42.98,42.98,0.8,20.23,20.21,0.019999999999999574,37.72797384,117.2151342,2733.7501460792337
9057,CHN35671,CHN,35671,LONGKOU,287024.0,407.34,35.78,35.78,2.58,21.53,20.84,0.6900000000000013,37.65450053,120.4742172,704.6300387882359
9078,JPN35736,JPN,35736,IWAKI,1274403.0,1612.62,31.44,31.44,1.86,19.42,18.82,0.6000000000000014,36.86876364,140.737671,790.2686311716338
9086,CHN35756,CHN,35756,LISHI,306622.0,899.25,36.8,36.8,1.54,17.94,17.43,0.5100000000000016,37.4936553,111.0442373,340.9752571587434
9101,ESP35802,ESP,35802,SEVILLA,1213324.0,1602.1,47.68,47.68,-0.05,19.65,18.96,0.6899999999999977,37.40813494,-5.972482733,757.3334997815368
9114,CHN35835,CHN,35835,FENGHUANG,117786.0,51.69,42.69,42.69,0.46,24.35,22.7,1.6500000000000021,37.6218197,114.9268519,2278.699941961695
9121,TUR35851,TUR,35851,KAHRAMANMARAS,326200.0,223.91,46.26,46.26,-0.74,21.42,20.34,1.0800000000000018,37.56913533,36.93685798,1456.835335625921
9130,CHN35865,CHN,35865,DONGYING,712920.0,776.29,37.77,37.77,1.75,22.87,22.07,0.8000000000000007,37.46178876,118.5388879,918.3681356194206
9131,CHN35866,CHN,35866,YANTAI,1261476.0,570.23,36.11,36.11,2.25,22.26,21.81,0.45000000000000284,37.46096762,121.4031591,2212.2231380320222
9154,CHN35926,CHN,35926,JIZHOU,105379.2,57.24,38.71,38.71,0.82,20.14,20.38,-0.23999999999999844,37.54605724,115.5830364,1814.0810621942696
9158,CHN35939,CHN,35939,WEIHAI,461662.0,295.24,35.06,35.06,0.99,22.25,21.94,0.3099999999999987,37.44322178,122.1155593,1563.683782685273
9162,ITA35952,ITA,35952,AGRIGENTO,206977.0,880.12,45.52,45.52,-0.56,18.31,17.79,0.5199999999999996,37.35442391,13.69706985,235.16906785438348
9167,CHN35965,CHN,35965,CHENGGUAN,154059.0,190.69,37.03,37.03,-1.7769999999999997,16.81,16.72,0.08999999999999986,37.51553624,105.1839144,807.902879018302
9170,IRN35976,IRN,35976,BOJNURD,155938.0,272.52,49.24,49.24,0.88,16.65,15.48,1.1699999999999982,37.48839092,57.38057314,572.207544400411
9171,CHN35978,CHN,35978,DEZHOU,435588.0,246.07,43.23,43.23,0.39,20.27,19.09,1.1799999999999997,37.45269454,116.314289,1770.1792172958915
9193,IRN36041,IRN,36041,BANDAREANZLI,105379.2,69.2,37.11,37.11,4.17,18.84,20.48,-0.7299999999999969,37.45922708,49.47444906,1470.1445086705203
9196,KOR36048,KOR,36048,WONJU,209606.0,230.6,32.57,32.57,3.3,20.94,19.44,1.5,37.38393136,127.9572598,908.9592367736341
9202,CHN36060,CHN,36060,CHENGZHEN,202401.0,139.77,35.79,35.79,1.11,19.23,18.67,0.5599999999999987,37.43315395,112.5587902,1448.100450740502
9203,CHN36061,CHN,36061,BINZHOU,395757.0,268.66,38.1,38.1,0.26,22.06,21.34,0.7199999999999989,37.39728877,118.0164035,1473.0774957194967
9207,CHN36079,CHN,36079,ZHAOYUAN,226734.0,229.84,34.54,34.54,-0.01,20.89,20.87,0.019999999999999574,37.41033027,120.444907,986.4862513052558
9226,USA36134,USA,36134,ROANOKE,177593.0,842.12,31.33,31.33,2.76,16.33,15.33,0.9999999999999982,37.30394047,-79.95846974,210.8879969600532
9227,IRN36139,IRN,36139,RASHT,2061272.0,2138.968,35.72,35.72,4.08,19.17,18.91,0.26000000000000156,36.86251169,51.8810684,321.9957666502644
9231,USA36147,USA,36147,VIRGINIABEACH,1391259.0,2138.968,33.21,33.21,3.02,19.68,18.39,1.2899999999999991,36.96331907,-76.36856899,377.81516301956884
9239,PRT36162,PRT,36162,FARO,305875.0,1556.27,42.31,42.31,-0.64,18.37,18.07,0.3000000000000007,37.12515323,-8.125491112,196.54365887667308
9240,ESP36162,ESP,36162,HUELVA,259813.0,920.99,44.48,44.48,-1.7769999999999997,18.75,18.61,0.14000000000000057,37.27128821,-7.004927758,282.10186864135335
9241,IRN36165,IRN,36165,MARAGHEH,214293.0,363.77,49.05,49.05,-1.7769999999999997,19.0,18.11,0.8900000000000006,37.35641796,46.16338228,589.0892596970614
9257,IRN36206,IRN,36206,GONBAD,157579.0,692.52,45.74,45.74,4.17,19.78,18.67,1.1099999999999994,37.2319048,55.29292821,227.54433084965055
9262,CHN36223,CHN,36223,NANGONG,126690.0,79.17,41.03,41.03,1.67,19.34,19.63,-0.28999999999999915,37.36117513,115.4017834,1600.2273588480484
9284,TUR36280,TUR,36280,CIZRE,143874.0,87.1,51.06699999999999,51.06699999999999,-0.27,25.09,23.64,1.4499999999999993,37.33235641,42.19352256,1651.825487944891
9285,CHN36283,CHN,36283,LINGCHENG,150728.0,65.54,46.46,46.46,0.95,20.97,20.7,0.2699999999999996,37.33921737,116.5683042,2299.7863899908452
9293,CHN36301,CHN,36301,JIEXIU,702198.0,1872.8,34.48,34.48,2.02,18.97,17.82,1.1499999999999986,37.10852343,111.826626,374.9455360956856
9301,TUN36312,TUN,36312,BIZERTE,184286.0,291.43,40.56,40.56,-1.68,20.36,20.23,0.129999999999999,37.22433879,9.991782266,632.350821809697
9307,CHN36327,CHN,36327,QIXIA,178088.0,60.87,36.49,36.49,0.89,20.59,19.86,0.7300000000000004,37.30723161,120.8343177,2925.710530639067
9309,USA36332,USA,36332,SPRINGFIELD,190738.0,1271.5,36.55,36.55,1.51,18.15,17.89,0.259999999999998,37.15406895,-93.2634631,150.01022414471097
9312,CHN36340,CHN,36340,WENDENG,297483.0,177.74,36.28,36.28,1.35,22.48,22.37,0.10999999999999943,37.23308507,122.0649876,1673.6975357263418
9314,ITA36345,ITA,36345,SIRACUSA,307507.0,709.64,44.59,44.59,0.34,19.87,18.98,0.8900000000000006,37.11037983,15.13195608,433.32816639422805
9315,CHN36348,CHN,36348,JINDIAN,142936.0,70.37,43.81,43.81,0.2,20.01,20.32,-0.3099999999999987,37.27771447,114.5052867,2031.2064800341052
9336,ESP36394,ESP,36394,GRANADA,366568.0,717.08,44.36,44.36,1.06,17.67,16.4,1.2700000000000031,37.16534876,-3.640584574,511.19540358119036
9338,JPN36396,JPN,36396,NAGANO,974894.0,2138.968,33.36,33.36,4.12,15.57,14.32,1.25,36.69048575,138.3121736,387.7397287515412
